iter	Passed	Remaining
0	1	548
1	3	570
2	5	562
3	7	558
4	9	552
5	11	553
6	13	553
7	15	551
8	17	550
9	18	546
10	20	544
11	22	540
12	24	539
13	26	539
14	28	539
15	30	537
16	32	535
17	34	535
18	36	532
19	37	530
20	39	528
21	41	527
22	43	525
23	45	524
24	47	522
25	49	520
26	51	519
27	53	517
28	55	516
29	57	514
30	59	512
31	61	511
32	63	509
33	64	508
34	67	507
35	68	505
36	70	503
37	72	501
38	74	500
39	76	498
40	78	497
41	80	494
42	82	494
43	84	492
44	86	490
45	88	488
46	90	488
47	92	485
48	94	484
49	96	482
50	98	480
51	100	478
52	102	476
53	104	474
54	106	472
55	108	471
56	110	469
57	112	469
58	114	467
59	116	465
60	118	464
61	120	462
62	122	460
63	124	459
64	126	457
65	128	455
66	130	454
67	132	452
68	134	450
69	136	448
70	138	446
71	140	443
72	142	441
73	143	439
74	145	437
75	147	435
76	149	433
77	151	431
78	153	429
79	155	427
80	157	425
81	159	423
82	161	421
83	163	419
84	165	417
85	167	416
86	169	414
87	171	412
88	173	410
89	175	408
90	177	406
91	179	404
92	180	402
93	182	401
94	184	399
95	186	397
96	188	395
97	190	393
98	192	391
99	194	389
100	196	387
101	198	385
102	200	383
103	202	381
104	204	379
105	206	377
106	208	375
107	210	373
108	212	372
109	214	370
110	216	368
111	218	366
112	220	364
113	222	362
114	224	360
115	226	358
116	228	356
117	230	354
118	232	352
119	233	350
120	235	349
121	238	347
122	239	345
123	241	343
124	243	341
125	245	339
126	247	337
127	249	335
128	251	333
129	253	331
130	255	329
131	257	327
132	259	325
133	261	323
134	263	321
135	265	319
136	267	317
137	269	315
138	270	313
139	272	311
140	274	309
141	276	307
142	278	306
143	280	303
144	282	302
145	284	300
146	286	298
147	288	296
148	290	294
149	292	292
150	294	290
151	296	288
152	298	286
153	300	284
154	302	282
155	304	280
156	306	278
157	308	277
158	310	275
159	312	273
160	314	271
161	316	269
162	318	267
163	320	265
164	321	263
165	323	261
166	325	259
167	327	257
168	329	255
169	331	253
170	333	251
171	335	249
172	337	247
173	339	246
174	341	244
175	343	242
176	345	240
177	346	237
178	348	235
179	350	233
180	352	231
181	354	229
182	356	227
183	358	225
184	360	223
185	362	221
186	364	220
187	366	218
188	368	216
189	370	214
190	372	212
191	374	210
192	376	208
193	378	206
194	380	204
195	382	202
196	384	200
197	386	198
198	388	196
199	390	195
200	391	193
201	393	191
202	395	189
203	397	187
204	399	185
205	401	183
206	403	181
207	405	179
208	407	177
209	409	175
210	411	173
211	413	171
212	415	169
213	417	167
214	419	165
215	421	163
216	423	162
217	425	160
218	427	158
219	429	156
220	431	154
221	433	152
222	435	150
223	437	148
224	439	146
225	441	144
226	443	142
227	445	140
228	447	138
229	449	136
230	451	134
231	453	132
232	454	130
233	456	128
234	458	126
235	460	124
236	462	123
237	464	121
238	466	119
239	468	117
240	470	115
241	472	113
242	474	111
243	476	109
244	478	107
245	479	105
246	481	103
247	483	101
248	485	99
249	487	97
250	489	95
251	491	93
252	493	91
253	495	89
254	497	87
255	499	85
256	501	83
257	503	82
258	505	80
259	507	78
260	509	76
261	511	74
262	513	72
263	515	70
264	517	68
265	519	66
266	521	64
267	523	62
268	524	60
269	526	58
270	528	56
271	530	54
272	532	52
273	534	50
274	536	48
275	538	46
276	540	44
277	542	42
278	543	40
279	546	39
280	547	37
281	549	35
282	551	33
283	553	31
284	555	29
285	557	27
286	559	25
287	561	23
288	563	21
289	565	19
290	566	17
291	568	15
292	570	13
293	572	11
294	574	9
295	576	7
296	578	5
297	580	3
298	582	1
299	584	0
